"yield.t.ha.","Phosphorus_ppm"
9.79809,50
10.7721,60
11.6998,31
10.18,13
8.78111,14
9.90943,19
10.4872,19
12.1587,12
10.1343,10
7.87258,25
10.7665,13
8.18909,21
10.3836,48
9.80534,10
11.0338,32
10.6513,63
10.9969,14
9.92935,43
9.06747,34
10.359,25
7.56742,21
7.19497,10
11.1566,47
8.4979,22
7.68495,18
10.5993,54
9.83829,26
12.1318,51
9.22066,18
11.824,51
11.9634,50
10.5265,54
9.48714,23
9.32546,11
11.2989,51
10.0285,9
10.2909,13
11.3897,33
7.71012,27
11.2248,38
11.038,38
11.1007,44
9.68101,20
11.3597,33
10.558,28
11.9825,27
8.42788,6
11.5333,52
11.1403,36
8.63827,30
9.94211,18
8.95374,6
12.0588,43
9.11793,24
11.6261,23
11.1152,7
12.2276,36
8.03754,12
9.74648,38
7.82207,17
11.6398,8
9.74209,10
11.1209,35
11.361,30
10.3822,17
10.1813,19
11.3124,47
10.186,9
10.6563,45
9.47445,41
10.9585,45
10.5064,41
10.8758,8
10.8483,30.5
11.2487,28
12.1776,34
10.5601,25
11.3042,13
10.6075,8
13.1964,12
8.73171,10
12.1876,12
10.9639,9
9.87926,12
8.37299,60
11.3629,10
10.3741,41
8.86639,11
12.0702,22
7.18497,14
11.0039,15
10.9958,10
9.00128,13
14.1859,9
10.1384,8
10.2911,21
12.4537,20
9.82495,16
10.7519,17
10.8953,8
10.6329,52
13.3406,13
8.12022,18
9.98691,9
10.9981,32.5
9.85285,21
9.80935,16
8.22314,14.67
10.3591,9
9.41774,7
10.4204,42
8.58663,12
10.1204,13
11.3888,12
8.5023,47
9.58465,15
9.35891,11
5.52207,30
9.93409,26
9.61126,42
9.3852,11
10.473,12
7.77736,14
7.69563,10
10.2077,6
10.5777,38
10.1998,52
7.36308,18
10.0165,28
9.72987,37
9.7404,10
9.06265,30
11.0784,11
9.03009,34
9.10944,9
9.51133,11
7.31473,8
10.5493,41
10.5619,6
10.7779,25.33
9.51024,25
7.80904,10
9.67772,7
10.0847,26
7.6054,10.5
10.2127,33
10.2974,6
11.1258,37
6.96292,25
9.31537,20
9.18079,13
8.63483,34
8.3791,9
8.62599,14
9.02508,19
8.33834,8
10.1656,41
10.1385,45
7.1483,8
9.35322,26
6.14937,14.5
9.6611,29
9.80404,43
10.1798,52
8.14954,22.5
6.35966,11
7.22355,8
8.92091,10
9.09397,10
7.47393,11
8.75047,10
9.6447,9
9.68686,11
9.19544,19
8.09322,15.33
8.98503,9
9.33691,54
8.10251,19
4.66259,23
9.89137,19
9.99764,17
9.26255,19
8.48334,29
9.58919,19
8.08422,20
9.6121,18
8.67094,24
8.1526,26
8.29444,23
5.9742,19
6.81867,31
6.55809,31
6.56377,25
6.88154,20
6.71546,19
6.06286,20
7.83736,28
8.50132,28
8.93586,40
9.19741,44
8.18733,55
8.24416,25
8.58679,38
8.08056,94
7.97479,28
8.12793,16
8.76649,28
7.75067,28
9.47963,50
7.96211,29
7.86896,12
8.34433,34
7.86225,41
7.78586,29
8.73626,94
8.0967,29
6.12659,32
8.19685,41
7.32927,32
7.73902,32
8.25883,41
7.9819,34
7.17942,16
8.17193,16
6.51952,31
8.70742,21
7.043,35
9.88478,16
9.69123,18
9.94321,20
10.2803,17
9.43638,27
9.43638,27
9.75676,19
9.698,27
9.698,27
8.64239,13
9.54896,11
9.76918,20
10.3798,15
10.8252,26
9.59563,16
7.97556,16
10.3849,16
10.9541,16
8.02112,15
9.70889,32
9.9146,18
9.2225,27
9.32107,24
10.7774,23
9.60172,17
5.10305,15
5.51831,16
7.93422,16
8.82203,23
9.75137,26
10.6207,19
9.23932,20
7.49404,19
6.72416,18
10.5076,20
8.48161,14
7.21586,14
9.90118,20
11.084,35
10.8087,25
6.51003,16
9.52479,29
9.35216,39
10.0243,47
9.27971,72
13.5673,33
9.30854,22
9.30375,22
11.6413,21
9.0991,37
8.39144,18
6.79339,16
9.47021,18
6.21274,17
13.0797,15
12.1421,13
8.56958,17
6.2315,18
13.3596,26
11.9377,19
11.2646,30
13.5557,24
12.1398,17
11.767,29
10.8411,18
10.4965,44
13.5634,23
11.5303,32
12.3212,13
11.4444,14
13.2585,40
9.72924,20
6.09916,21
9.50452,24
12.207,26
7.62475,14
10.1245,20
11.1751,16
10.5792,12
12.1793,15
11.511,30
11.4702,16
11.2161,16
10.418,24
13.0079,20
12.1578,32
13.5694,23
10.4771,9
11.449,25
11.9325,12
6.64863,15
10.6581,17
10.9285,26
8.91137,8
10.6218,43
10.6645,21
10.4015,36
9.9169,32
11.185,21
11.4802,20
11.784,42
9.64689,9
9.17102,28
10.9711,39
11.7415,27
7.96128,27
11.822,17
8.44799,25
9.37289,10
12.6907,19
6.37377,19
11.7489,25
11.9685,29
12.0029,25
8.09051,14
14.6926,55
6.82323,20
11.3758,24
12.5985,21
7.7626,12
13.3272,22
4.6948,6
5.69499,20
7.99784,31
12.4065,51
8.42398,4
12.026,34
9.42018,12
9.03159,19
9.80731,10
4.84662,9
11.1532,11
12.4086,15
9.49853,13
5.28244,4
10.9068,19
14.2295,64
6.89045,12
4.77054,10
11.7499,14
10.4532,11
9.83014,7
11.3785,22
7.34351,5
7.15369,11
13.4171,16
3.75849,15
8.3067,13
7.82357,10
10.3629,19
8.04262,7
5.33771,14
9.67121,19
7.63524,7
8.63608,57
10.2169,12
5.13975,21
7.55054,12
5.92966,16
3.6925,12
3.54299,11
7.24089,5
10.4312,16
9.54659,8
3.44282,15
9.51994,9
10.034,14
10.732,40
6.94535,37
6.67058,17
10.4097,26
3.755,11
4.62148,9
11.2479,17
9.65716,13
10.0956,8
4.45728,4
2.63162,7
4.67294,4
5.91854,17
11.2349,14
10.1689,45
6.43472,11
8.42881,5
9.05753,12
8.05015,38
4.34596,11
4.90312,12
9.92077,6
8.1367,12
4.26669,11
9.43915,38
4.18174,9
4.86071,14
9.51219,30
7.83127,11
9.3042,44
4.0448,9
8.80986,46
10.5407,24
6.81406,45
8.22034,18
8.86708,28
4.07361,11
3.54705,8
4.31249,8
8.81709,16
9.67866,11
4.41574,8
9.99461,51
7.42574,33
9.17754,21
3.60166,18
7.99849,14
4.47249,12
4.60442,8
3.75806,15
4.31161,8
3.79604,15
4.19928,12
9.89457,14
3.68929,10
7.18135,21
4.38223,10
7.36065,30
4.58338,12
10.8128,15
8.72215,49
11.1752,18
6.14326,70
4.43155,40
5.74083,40
6.32819,16
8.75398,24
8.97147,24
9.86891,16
9.99868,24
9.58362,16
11.5678,14
12.6233,22
9.15889,16
8.73018,17
10.8275,16
10.4936,17
11.1771,18
9.35651,26
11.8368,25
8.50456,14
6.234,14
11.1521,23
8.0393,14
8.04516,15
8.09822,19
10.5339,20
9.20117,13
12.1933,28
9.48646,23
7.21119,22
8.48246,14
9.48064,11
11.1712,29
9.18459,15
7.7572,16
10.7723,17
9.80695,17
9.06512,13
10.3697,15
10.0518,16
7.95734,18
8.5323,18
8.16483,17
7.33299,19
8.65815,17
8.97972,21
8.049,17
7.09288,27
7.37768,27
8.75884,19
8.46304,27
8.22654,21
8.42767,27
8.83717,34
9.52931,70
9.31091,19
9.31626,21
8.81716,19
9.24629,48
9.08432,76
9.77155,41
9.57013,20
10.0099,19
9.15252,24
10.7815,65
9.30339,41
11.0646,42
10.3003,19
8.05282,28
9.23975,20
11.0228,61
10.5323,41
9.58604,20
10.8975,49
7.01413,76
10.0179,19
9.80641,13
9.14775,19
10.3188,61
8.74575,40
9.18058,28
10.113,17
8.69461,33
8.23415,28
9.14183,33
9.11404,36
9.56059,39
8.89719,48
8.84773,39
10.7888,19
9.86299,17
9.81527,21
10.692,16
9.89546,12
10.0616,20
9.64164,27
9.23793,22
7.7256,30
8.82472,23
9.14468,16
9.0617,19
9.24839,16
8.40373,14
9.6977,20
10.2971,31
8.40664,11
8.71373,21
8.79276,14
10.7758,18
8.88134,14
9.13946,21
7.97198,17
9.57549,12
8.91957,25
10.248,20
9.09821,16
10.5397,17
11.0263,13
9.14996,20
10.6961,17
9.27163,9
10.1207,11
9.76559,14
